districtname,constnum,constname,maoist,uml,nepalicongress,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender
Parvat,2,Parvat 2,39.52,25.35,22.61,51.18,47.23,37,7.69,92.31,M
Pyuthan,1,Pyuthan 1,31.05,21.11,11.78,56.33,44.88,44,0,100,M
Pyuthan,2,Pyuthan 2,27.6,18.43,18.12,56.77,53.67,65,11.11,88.89,M
Ramechhap,1,Ramechhap 1,40.17,17.87,22.62,46.61,43.2,35,0,100,M
Ramechhap,2,Ramechhap 2,54.21,13.58,11.18,57.02,37.47,35,6.67,93.33,M
Rasuwa,1,Rasuwa 1,45.93,24.77,16.55,63.27,40.86,32,14.29,85.71,M
Rautahat,1,Rautahat 1,9.19,11.37,12.52,59.26,42.32,31,7.14,92.86,M
Rautahat,2,Rautahat 2,11.27,14.69,24.49,68.33,38.26,45,3.7,96.3,M
Rautahat,3,Rautahat 3,26.19,9.79,9.66,66.39,38.45,36,4.55,95.45,M
Rautahat,4,Rautahat 4,19.25,12.3,16.23,66.94,40.92,40,8.33,91.67,M
Rautahat,5,Rautahat 5,26.78,12.44,13.57,67.85,41.12,49,0,100,M
Rautahat,6,Rautahat 6,23.18,19.8,13.56,63.55,42.92,37,12.5,87.5,M
Rolpa,1,Rolpa 1,63.14,5.67,12.3,53.76,46.64,34,9.09,90.91,F
Rolpa,2,Rolpa 2,69.03,11.38,10.73,57.45,41.88,52,12.5,87.5,M
Rukum,1,Rukum 1,71.53,9.21,10.96,62.79,40.13,30,37.5,62.5,F
Rukum,2,Rukum 2,60.44,12.17,19.34,71.69,42.88,46,0,100,M
Rupandehi,1,Rupandehi 1,26.08,19.71,20.31,62.38,45.52,38,13.04,86.96,M
Rupandehi,2,Rupandehi 2,20.58,19.17,18.84,58.29,46.14,27,0,100,M
Rupandehi,3,Rupandehi 3,25.15,27.01,29.07,64.72,42.92,46,20,80,M
Rupandehi,4,Rupandehi 4,30.84,29.91,25.1,55.13,48.1,48,5,95,M
Rupandehi,5,Rupandehi 5,23.82,22.7,18.23,61.97,39.87,45,0,100,M
Rupandehi,6,Rupandehi 6,7.76,3.77,13.55,59.97,46.64,33,9.09,90.91,M
Rupandehi,7,Rupandehi 7,10.31,5.8,11.54,62.18,42.26,39,3.7,96.3,M
Salyan,1,Salyan 1,51.08,18.8,16.25,63.54,41,42,12.5,87.5,M
Salyan,2,Salyan 2,35.74,26.02,22.18,55.93,44.45,46,0,100,M
Sankhuwasabha,1,Sankhuwasabha 1,35.33,28.07,23.17,46.92,50.11,43,0,100,M
Sankhuwasabha,2,Sankhuwasabha 2,27.92,32.93,24.25,48.19,45.64,42,0,100,M
Saptari,1,Saptari 1,16.98,12.86,6.7,65.06,42.42,48,0,100,M
Saptari,2,Saptari 2,8.53,7.24,8.43,57.78,47.08,47,8.33,91.67,M
Saptari,3,Saptari 3,8.01,5.79,14.28,57.43,48.43,37,3.57,96.43,M
Saptari,4,Saptari 4,6.13,9.38,11.44,71.54,43.84,39,12,88,F
Saptari,5,Saptari 5,12.56,14.18,9.56,66.26,45,49,11.54,88.46,M
Saptari,6,Saptari 6,5.19,9.75,7.28,66.99,46.35,49,11.76,88.24,M
Sarlahi,1,Sarlahi 1,22.29,22.16,12.46,58.04,43.38,49,14.29,85.71,M
Sarlahi,2,Sarlahi 2,11.62,14.43,7.52,66.21,44.32,40,0,100,M
Sarlahi,3,Sarlahi 3,14.57,16.15,8.71,64.2,40.68,47,4.55,95.45,F
Sarlahi,4,Sarlahi 4,3.99,9.46,9.03,65.58,44.42,49,3.85,96.15,M
Sarlahi,5,Sarlahi 5,4.24,3.13,11.12,68.19,44.94,42,3.03,96.97,M
Sarlahi,6,Sarlahi 6,0.87,6.42,15.99,68.07,40.36,38,4.55,95.45,M
Sindhuli,1,Sindhuli 1,30.8,31.87,24.44,57.11,38.4,40,20,80,M
Sindhuli,2,Sindhuli 2,37.54,24.23,22.5,55.24,47.42,60,0,100,M
