districtname,constnum,constname,maovote,civdeath_gov,civdeath_mao,govtdeath,maodeath,statebased,onesided,turnout,candidate_avgage,winnerage,per_femalecandidates,per_malecandidates,winnergender,winningparty
Ilam,3,Ilam 3,19.75,26.75,14.86,49.03,74.3,41.61,123.33,63.75,51.56,73,11.11,88.89,M,NC
Jajarkot,1,Jajarkot 1,54.35,1.92,9.59,3.84,53.7,11.51,57.54,67.08,47.38,49,25,75,M,CPNM
Jajarkot,2,Jajarkot 2,40.07,0,0,0,0,0,0,65.97,48.75,45,0,100,M,CPNM
Jhapa,1,Jhapa 1,31.41,0,0,0,0,0,0,53.97,47.67,62,6.67,93.33,M,CPNM
Jhapa,2,Jhapa 2,38.41,0,0,0,0,0,0,53.84,44.29,47,11.76,88.24,M,CPNM
Jhapa,3,Jhapa 3,35.68,0,0,0,0,0,0,57.65,46.93,43,7.14,92.86,M,CPNM
Jhapa,4,Jhapa 4,36.08,0,0,0,0,0,0,56.57,50.43,35,14.29,85.71,F,CPNM
Jhapa,5,Jhapa 5,26.64,12.68,24.38,30.23,23.4,37.06,53.63,56.92,49.57,64,0,100,M,NC
Jhapa,6,Jhapa 6,24.29,0,0,0,0,0,0,59.35,46,48,14.29,85.71,M,UML
Jhapa,7,Jhapa 7,30.01,0,0,0,0,0,0,53.35,43.25,32,5,95,M,CPNM
JUMLa,1,JUMLa 1,49.63,4.85,12.93,69.5,223.06,17.78,292.56,68.8,43.9,29,0,100,M,CPNM
Kailali,1,Kailali 1,48.84,0,0,0,0,0,0,54.76,38.73,29,20,80,F,CPNM
Kailali,2,Kailali 2,47.13,0,0,0,0,0,0,55.41,40.08,36,7.69,92.31,M,CPNM
Kailali,3,Kailali 3,40.78,0,0,0,0,0,0,67.44,46.93,34,20,80,M,CPNM
Kailali,4,Kailali 4,55.75,33.86,27.59,111.61,165.54,61.45,277.15,61.97,43.46,29,7.69,92.31,M,CPNM
Kailali,5,Kailali 5,40.98,0,0,0,0,0,0,54.53,44.14,48,14.29,85.71,M,CPNM
Kailali,6,Kailali 6,34.9,0,0,0,0,0,0,52.6,45.18,31,23.53,76.47,F,CPNM
Kalikot,1,Kalikot 1,50.92,59.81,8.72,88.47,62.3,68.53,150.77,67.61,49.73,39,0,100,M,CPNM
Kanchanpur,1,Kanchanpur 1,35.54,0,0,0,0,0,0,61.62,41.38,26,0,100,M,CPNM
Kanchanpur,2,Kanchanpur 2,41.03,11.01,42.82,28.14,95.43,53.83,123.57,54.52,39.75,31,6.25,93.75,M,CPNM
